# Wavelength Correction_Factor
3.499449999999999932e+02 8.463395918357248249e+00
3.501589999999999918e+02 8.523843457275463109e+00
3.503720000000000141e+02 8.581051635151881740e+00
3.505860000000000127e+02 8.635020451986504142e+00
3.507989999999999782e+02 8.685749907779332091e+00
3.510129999999999768e+02 8.733240002530365587e+00
3.512269999999999754e+02 8.777490736239602853e+00
3.514399999999999977e+02 8.818502108907043890e+00
3.516539999999999964e+02 8.856274120532692251e+00
3.518679999999999950e+02 8.890806771116542606e+00
3.520810000000000173e+02 8.922100060658598508e+00
3.522950000000000159e+02 8.950153989158859957e+00
3.525079999999999814e+02 8.974968556617323401e+00
3.527219999999999800e+02 8.996543763033994168e+00
3.529350000000000023e+02 9.014879608408868705e+00
3.531490000000000009e+02 9.029976092741947014e+00
3.533620000000000232e+02 9.041833216033230869e+00
3.535760000000000218e+02 9.050450978282720271e+00
3.537889999999999873e+02 9.055829379490413444e+00
3.540029999999999859e+02 9.057968419656310388e+00
3.542160000000000082e+02 9.056868098780412879e+00
3.544300000000000068e+02 9.052528416862719141e+00
3.546429999999999723e+02 9.044949373903230949e+00
3.548570000000000277e+02 9.034130969901946528e+00
3.550699999999999932e+02 9.020073204858867655e+00
3.552839999999999918e+02 9.002776078773820245e+00
3.554970000000000141e+02 9.088907651649158481e+00
3.557110000000000127e+02 9.003869766454739576e+00
3.559239999999999782e+02 8.988580790371797136e+00
3.561370000000000005e+02 8.900972760349212365e+00
3.563509999999999991e+02 9.034224402525065756e+00
3.565640000000000214e+02 8.938293588174687443e+00
3.567769999999999868e+02 8.837720149252513480e+00
3.569909999999999854e+02 8.789226670097983529e+00
3.572040000000000077e+02 8.641951420872409528e+00
3.574180000000000064e+02 8.623305881306905007e+00
3.576309999999999718e+02 8.825379849720613734e+00
3.578439999999999941e+02 8.706025727075504150e+00
3.580579999999999927e+02 8.797826040881034260e+00
3.582710000000000150e+02 8.746296502562458386e+00
3.584839999999999804e+02 8.646319765167902460e+00
3.586970000000000027e+02 8.665915524465299669e+00
3.589110000000000014e+02 8.463023886201305857e+00
3.591240000000000236e+02 8.527376145579710354e+00
3.593369999999999891e+02 8.421349148819944119e+00
3.595500000000000114e+02 8.257444293885468412e+00
3.597640000000000100e+02 8.217049643090602373e+00
3.599769999999999754e+02 7.860635814107747699e+00
3.601899999999999977e+02 7.668658197014344147e+00
3.604030000000000200e+02 7.610511188070557154e+00
3.606170000000000186e+02 7.653779726617621293e+00
3.608299999999999841e+02 7.398631807297237906e+00
3.610430000000000064e+02 7.359493384889807643e+00
3.612559999999999718e+02 7.090066469900512480e+00
3.614689999999999941e+02 7.434679005435165244e+00
3.616820000000000164e+02 7.260344480729304273e+00
3.618960000000000150e+02 7.212031171848400923e+00
3.621089999999999804e+02 7.102563802964425577e+00
3.623220000000000027e+02 7.056605058469438418e+00
3.625350000000000250e+02 7.185002262161234832e+00
3.627479999999999905e+02 7.428594149993613449e+00
3.629610000000000127e+02 7.358648074037303033e+00
3.631739999999999782e+02 7.336181614200727452e+00
3.633870000000000005e+02 7.210803720109915993e+00
3.636000000000000227e+02 7.105403562104842585e+00
3.638140000000000214e+02 7.138520551670088032e+00
3.640269999999999868e+02 7.152898800418286740e+00
3.642400000000000091e+02 7.094102882459399240e+00
3.644529999999999745e+02 6.985842244210692442e+00
3.646659999999999968e+02 6.926343192165151486e+00
3.648790000000000191e+02 7.026561194241695674e+00
3.650919999999999845e+02 7.116658143956161808e+00
3.653050000000000068e+02 7.083136237968544080e+00
3.655179999999999723e+02 7.108037711110858581e+00
3.657309999999999945e+02 7.054224084293974961e+00
3.659440000000000168e+02 7.043511183833921052e+00
3.661569999999999823e+02 6.963985409635123247e+00
3.663690000000000282e+02 6.958773229063992538e+00
3.665819999999999936e+02 6.880482654891727279e+00
3.667950000000000159e+02 6.770278857311661014e+00
3.670079999999999814e+02 6.825185882541026317e+00
3.672210000000000036e+02 6.717989399443746734e+00
3.674340000000000259e+02 6.656186441804528009e+00
3.676469999999999914e+02 6.610936223072160445e+00
3.678600000000000136e+02 6.610664626645765374e+00
3.680729999999999791e+02 6.533674885423372380e+00
3.682860000000000014e+02 6.610965181914427724e+00
3.684979999999999905e+02 6.609134295049473806e+00
3.687110000000000127e+02 6.602123116336733766e+00
3.689239999999999782e+02 6.605526894870335397e+00
3.691370000000000005e+02 6.562533808026599580e+00
3.693500000000000227e+02 6.528138682936395654e+00
3.695629999999999882e+02 6.461542816200149808e+00
3.697749999999999773e+02 6.313714259595744061e+00
3.699879999999999995e+02 6.291090980649074460e+00
3.702010000000000218e+02 6.306348225589082368e+00
3.704139999999999873e+02 6.311780492810873611e+00
3.706259999999999764e+02 6.328994232416971677e+00
3.708389999999999986e+02 6.475486339250895007e+00
3.710520000000000209e+02 6.444562879152742951e+00
3.712649999999999864e+02 6.341191422847875181e+00
3.714769999999999754e+02 6.337472588932848261e+00
3.716899999999999977e+02 6.405265992780691420e+00
3.719030000000000200e+02 6.412932725122739264e+00
3.721150000000000091e+02 6.500401722161836204e+00
3.723279999999999745e+02 6.376238639330314761e+00
3.725409999999999968e+02 6.548260746934080778e+00
3.727529999999999859e+02 6.539813064173282342e+00
3.729660000000000082e+02 6.568096050782830986e+00
3.731789999999999736e+02 6.552680663341469369e+00
3.733910000000000196e+02 6.532614793225741678e+00
3.736039999999999850e+02 6.686170416675417449e+00
3.738170000000000073e+02 6.717787216044992071e+00
3.740289999999999964e+02 6.693209486976263278e+00
3.742420000000000186e+02 6.691576645986582861e+00
3.744540000000000077e+02 6.726721090108465084e+00
3.746669999999999732e+02 6.741741532563707118e+00
3.748790000000000191e+02 6.782594700216073136e+00
3.750919999999999845e+02 6.794686897748213994e+00
3.753050000000000068e+02 6.842046485498920916e+00
3.755169999999999959e+02 6.767932799605461014e+00
3.757300000000000182e+02 6.724068220949620311e+00
3.759420000000000073e+02 6.719920145798798039e+00
3.761549999999999727e+02 6.721893147338189323e+00
3.763670000000000186e+02 6.735817685773986874e+00
3.765799999999999841e+02 6.720889917686512227e+00
3.767919999999999732e+02 6.665750438919655352e+00
3.770049999999999955e+02 6.588931414436765444e+00
3.772169999999999845e+02 6.573171708127461876e+00
3.774289999999999736e+02 6.635291038659616447e+00
3.776419999999999959e+02 6.599719620738765613e+00
3.778539999999999850e+02 6.557980350839991424e+00
3.780670000000000073e+02 6.524456034896234158e+00
3.782789999999999964e+02 6.472536109082798639e+00
3.784920000000000186e+02 6.435437896495790788e+00
3.787040000000000077e+02 6.369761786298903772e+00
3.789159999999999968e+02 6.376200466207357032e+00
3.791290000000000191e+02 6.383009738804966915e+00
3.793410000000000082e+02 6.378638843004157621e+00
3.795529999999999973e+02 6.345689494771002970e+00
3.797660000000000196e+02 6.317825583042393944e+00
3.799780000000000086e+02 6.227106701756806473e+00
3.801899999999999977e+02 6.193244438334350122e+00
3.804030000000000200e+02 6.140200069876226685e+00
3.806150000000000091e+02 6.196680723832048265e+00
3.808269999999999982e+02 6.139082478909663187e+00
3.810400000000000205e+02 6.113594786740192966e+00
3.812520000000000095e+02 6.015158020088708923e+00
3.814639999999999986e+02 5.914473055026275183e+00
3.816759999999999877e+02 5.842886925625933259e+00
3.818890000000000100e+02 5.805716890970898270e+00
3.821009999999999991e+02 5.807862621359398680e+00
3.823129999999999882e+02 5.747189581338474795e+00
3.825249999999999773e+02 5.718780609586391783e+00
3.827370000000000232e+02 5.645550551444887155e+00
3.829499999999999886e+02 5.545483132954869276e+00
3.831619999999999777e+02 5.655105972636549794e+00
3.833740000000000236e+02 5.597816786191080141e+00
3.835860000000000127e+02 5.555036368968765181e+00
3.837980000000000018e+02 5.544011382911468999e+00
3.840099999999999909e+02 5.486101782513534530e+00
3.842230000000000132e+02 5.511782798235015157e+00
3.844350000000000023e+02 5.485310370272200586e+00
3.846469999999999914e+02 5.462328810733814599e+00
3.848589999999999804e+02 5.472352103683122415e+00
