# Wavlength Correction_Factor
3.493700000000000045e+02 8.336922732827408922e+00
3.495799999999999841e+02 8.278712788087517538e+00
3.498000000000000114e+02 8.221624566075718121e+00
3.500099999999999909e+02 8.165658066792010672e+00
3.502200000000000273e+02 8.110813290236395190e+00
3.504399999999999977e+02 8.057090236408871675e+00
3.506499999999999773e+02 8.004488905309440128e+00
3.508600000000000136e+02 7.953009296938101436e+00
3.510799999999999841e+02 7.902651411294854711e+00
3.512900000000000205e+02 7.853415248379699065e+00
3.515000000000000000e+02 7.805300808192636275e+00
3.517200000000000273e+02 7.758308090733665452e+00
3.519300000000000068e+02 7.712437096002786596e+00
3.521399999999999864e+02 7.667687824000000596e+00
3.523600000000000136e+02 7.624060274725305675e+00
3.525699999999999932e+02 7.581554448178703609e+00
3.527799999999999727e+02 7.540170344360192622e+00
3.530000000000000000e+02 7.499907963269774491e+00
3.532099999999999795e+02 7.460767304907448327e+00
3.534200000000000159e+02 7.422748369273214131e+00
3.536399999999999864e+02 7.385851156367071901e+00
3.538500000000000227e+02 7.350075666189021639e+00
3.540600000000000023e+02 7.315421898739064233e+00
3.542699999999999818e+02 7.281889854017197905e+00
3.544900000000000091e+02 7.249479532023424433e+00
3.546999999999999886e+02 7.218190932757573286e+00
3.549100000000000250e+02 7.272447882027954336e+00
3.551299999999999955e+02 7.239217312397456361e+00
3.553399999999999750e+02 7.282001195485973355e+00
3.555500000000000114e+02 7.253551865407123600e+00
3.557699999999999818e+02 7.237377999834413878e+00
3.559800000000000182e+02 7.164185824358709986e+00
3.561899999999999977e+02 7.164409261882503266e+00
3.564100000000000250e+02 7.159619556814469377e+00
3.566200000000000045e+02 7.155663936402278047e+00
3.568299999999999841e+02 7.172584837516124523e+00
3.570500000000000114e+02 7.132400929900761355e+00
3.572599999999999909e+02 7.079693010553616439e+00
3.574700000000000273e+02 7.062884336852375711e+00
3.576899999999999977e+02 6.994136507938827130e+00
3.578999999999999773e+02 6.998129206230828459e+00
3.581100000000000136e+02 6.909406405710941002e+00
3.583199999999999932e+02 6.918321450544238971e+00
3.585400000000000205e+02 6.825959663995932125e+00
3.587500000000000000e+02 6.784703021183455363e+00
3.589599999999999795e+02 6.728664540762429702e+00
3.591800000000000068e+02 6.648416916916625397e+00
3.593899999999999864e+02 6.653791753101692130e+00
3.596000000000000227e+02 6.623334380250940789e+00
3.598199999999999932e+02 6.594371048867508023e+00
3.600299999999999727e+02 6.595796980567565804e+00
3.602400000000000091e+02 6.595689073214901832e+00
3.604499999999999886e+02 6.556762722055581527e+00
3.606700000000000159e+02 6.493252566554474470e+00
3.608799999999999955e+02 6.462567391896552493e+00
3.610899999999999750e+02 6.400412563440928793e+00
3.613100000000000023e+02 6.320032786530601854e+00
3.615199999999999818e+02 6.221601258787814004e+00
3.617300000000000182e+02 6.220730984344975845e+00
3.619399999999999977e+02 6.180442856984843303e+00
3.621600000000000250e+02 6.139806669471854050e+00
3.623700000000000045e+02 6.088255142456610258e+00
3.625799999999999841e+02 6.036906086665296378e+00
3.628000000000000114e+02 6.005373908721019838e+00
3.630099999999999909e+02 5.965424036713401712e+00
3.632200000000000273e+02 5.910632476675233171e+00
3.634300000000000068e+02 5.863297907818231458e+00
3.636499999999999773e+02 5.827114404703658046e+00
3.638600000000000136e+02 5.773165703590595221e+00
3.640699999999999932e+02 5.712139688507147817e+00
